Home-Team,Away-Team,Home-Goals,Away-Goals
Jordan,Curacao,0,0
Paraguay,Panama,0,0
Spain,Brazil,1,0
Iran,United States,0,1
Egypt,Ghana,1,1
Uruguay,Turkey,1,2
Bosnia and Herzegovina,Qatar,1,0
Australia,Sweden,0,1
Congo DR,Scotland,0,1
South Korea,Norway,0,1
New Zealand,Congo DR,0,1
Austria,South Korea,0,1
Ghana,Ivory Coast,1,1
Switzerland,Turkey,1,1
Japan,United States,2,2
Morocco,Haiti,1,0
Senegal,Ecuador,1,0
Morocco,New Zealand,1,0
Tunisia,Ghana,1,1
Colombia,Senegal,1,1
Sweden,Switzerland,1,0
Haiti,Qatar,0,1
Scotland,Iraq,1,0
Iran,Netherlands,0,1
Senegal,Iran,0,0
United States,Australia,0,1
Colombia,Turkey,1,1
France,Curacao,1,0
Tunisia,Belgium,1,1
Switzerland,Argentina,1,1
England,Congo DR,1,0
Iran,Ghana,1,0
Belgium,Saudi Arabia,1,0
Paraguay,Netherlands,1,2
France,Uzbekistan,2,1
Iran,Sweden,1,2
Sweden,Panama,2,1
Austria,Colombia,1,0
England,Japan,2,1
Sweden,Morocco,2,2
Portugal,Egypt,2,1
Paraguay,Portugal,1,2
Uzbekistan,Saudi Arabia,1,2
Cape Verde,England,1,2
Germany,Uzbekistan,2,1
Turkey,Brazil,1,2
Uruguay,Morocco,2,1
Congo DR,Canada,1,2
Iraq,South Africa,1,2
United States,Scotland,2,2
Algeria,Panama,2,2
